file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test-integration\java\io\airbyte\integrations\destination\iceberg\container\HiveMetastoreS3PostgresCompose.java,io.airbyte.integrations.destination.iceberg.container.HiveMetastoreS3PostgresCompose,class,6,9,3,6,6,2,0,25,3,0.6666666,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,7,7,1,6,0,0,7,0,38,35,4,0,0,0,0,29,5,9,5,9,0,0,0,0,65,1,5
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-dynamodb\src\test\java\io\airbyte\integrations\source\dynamodb\DynamodbAttributeSerializerTest.java,io.airbyte.integrations.source.dynamodb.DynamodbAttributeSerializerTest,class,6,6,0,6,2,1,0,21,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,2,13,0,0,0,0,0,25,0,4,0,4,0,0,0,0,23,0,0
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test\java\io\airbyte\integrations\destination\iceberg\IcebergRESTCatalogServerManagedConfigTest.java,io.airbyte.integrations.destination.iceberg.IcebergRESTCatalogServerManagedConfigTest,class,11,11,0,11,4,1,0,22,0,0.45,0.5,0.5,4,0,3,0,0,1,4,0,0,0,5,4,0,5,0,0,4,0,4,35,0,0,0,0,0,15,0,10,0,10,0,0,0,0,55,0,2
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-elasticsearch\src\main\java\io\airbyte\integrations\destination\elasticsearch\ElasticsearchAuthenticationMethod.java,io.airbyte.integrations.destination.elasticsearch.ElasticsearchAuthenticationMethod,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-mongodb-v2\src\test\java\io\airbyte\integrations\source\mongodb\cdc\MongoDbDebeziumEventConverterTest.java,io.airbyte.integrations.source.mongodb.cdc.MongoDbDebeziumEventConverterTest$DummyMetadataInjector,innerclass,3,3,0,3,6,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,9,0,1,0,1,1,0,0,0,13,9,0
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,class,17,21,4,17,32,2,0,70,180,0.920635,0.083333336,0.083333336,21,0,4,5,12,0,16,0,0,0,6,6,2,4,0,0,6,0,7,116,26,0,5,0,0,22,0,17,2,24,2,0,0,7,134,1,0
D:\objectoriented\airbyte\airbyte-integrations\connectors-performance\destination-harness\src\main\java\io\airbyte\integrations\destination_performance\PerformanceHarness.java,io.airbyte.integrations.destination_performance.PerformanceHarness,class,23,26,3,23,20,1,0,82,20,0.8645833,0.33333334,0.33333334,8,2,0,5,0,3,3,0,0,0,12,7,7,5,0,0,11,0,19,144,5,4,4,3,5,32,20,55,14,56,3,0,0,3,205,1,12
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\test-integration\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGeneratorIntegrationTest.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGeneratorIntegrationTest,class,22,23,1,22,10,2,0,43,31,0.73333335,0.15555556,0.22222222,10,2,4,0,6,0,10,0,0,0,3,3,0,3,0,0,0,0,2,50,6,0,0,0,0,7,1,10,0,10,0,0,0,1,80,1,0
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-mysql\src\test\java\io\airbyte\integrations\source\mysql\MySqlSourceOperationsTest.java,io.airbyte.integrations.source.mysql.MySqlSourceOperationsTest,class,8,9,1,8,10,1,0,37,10,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,48,0,4,0,3,0,16,30,13,2,18,6,0,0,5,68,1,0
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-postgres\src\main\java\io\airbyte\integrations\source\postgres\cdc\PostgresDebeziumStateUtil.java,io.airbyte.integrations.source.postgres.cdc.PostgresDebeziumStateUtil,class,22,25,3,22,29,1,0,64,25,0.5,0.3,0.3,10,0,5,5,0,0,5,0,0,0,1,1,0,1,0,0,1,0,12,132,17,1,4,4,0,28,5,33,6,29,2,0,0,2,176,1,7
