file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test-integration\java\io\airbyte\integrations\destination\iceberg\container\HiveMetastoreS3PostgresCompose.java,io.airbyte.integrations.destination.iceberg.container.HiveMetastoreS3PostgresCompose,HiveMetastoreS3PostgresCompose/0,true,52,0,2,2,0,1,10,4,0,0,0,10,0,0,0,0,0,0,1,4,0,0,0,0,0,0,23,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test-integration\java\io\airbyte\integrations\destination\iceberg\container\HiveMetastoreS3PostgresCompose.java,io.airbyte.integrations.destination.iceberg.container.HiveMetastoreS3PostgresCompose,thriftUri/0,false,81,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test-integration\java\io\airbyte\integrations\destination\iceberg\container\HiveMetastoreS3PostgresCompose.java,io.airbyte.integrations.destination.iceberg.container.HiveMetastoreS3PostgresCompose,getComposeConfig/1[io.airbyte.integrations.destination.iceberg.config.format.DataFileFormat],false,85,3,4,2,2,1,10,5,1,1,1,10,2,1,0,0,0,0,8,0,1,1,0,0,0,0,33,1,1,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test-integration\java\io\airbyte\integrations\destination\iceberg\container\HiveMetastoreS3PostgresCompose.java,io.airbyte.integrations.destination.iceberg.container.HiveMetastoreS3PostgresCompose,s3Endpoint/0,false,77,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test-integration\java\io\airbyte\integrations\destination\iceberg\container\HiveMetastoreS3PostgresCompose.java,io.airbyte.integrations.destination.iceberg.container.HiveMetastoreS3PostgresCompose,start/0,false,68,0,2,2,0,1,4,8,0,1,0,4,0,0,0,0,0,0,4,0,1,1,0,0,0,0,6,1,4,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test-integration\java\io\airbyte\integrations\destination\iceberg\container\HiveMetastoreS3PostgresCompose.java,io.airbyte.integrations.destination.iceberg.container.HiveMetastoreS3PostgresCompose,getWrongConfig/0,false,106,2,3,2,1,1,7,3,1,0,0,7,1,1,0,0,0,0,9,0,0,0,0,0,0,0,10,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-dynamodb\src\test\java\io\airbyte\integrations\source\dynamodb\DynamodbAttributeSerializerTest.java,io.airbyte.integrations.source.dynamodb.DynamodbAttributeSerializerTest,serializeAttributeValueToJson/0,false,35,2,0,0,0,1,18,5,0,2,0,18,0,0,0,0,0,0,25,0,2,0,0,0,0,0,13,0,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-dynamodb\src\test\java\io\airbyte\integrations\source\dynamodb\DynamodbAttributeSerializerTest.java,io.airbyte.integrations.source.dynamodb.DynamodbAttributeSerializerTest,setup/0,false,25,5,1,0,1,1,3,5,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test\java\io\airbyte\integrations\destination\iceberg\IcebergRESTCatalogServerManagedConfigTest.java,io.airbyte.integrations.destination.iceberg.IcebergRESTCatalogServerManagedConfigTest,restCatalogSparkConfigTest/0,false,74,4,1,0,1,1,7,10,0,1,0,7,0,0,0,0,0,0,7,0,1,0,0,0,0,0,26,1,1,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test\java\io\airbyte\integrations\destination\iceberg\IcebergRESTCatalogServerManagedConfigTest.java,io.airbyte.integrations.destination.iceberg.IcebergRESTCatalogServerManagedConfigTest,s3ConfigForCatalogInitializeTest/0,false,88,1,0,0,0,1,4,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test\java\io\airbyte\integrations\destination\iceberg\IcebergRESTCatalogServerManagedConfigTest.java,io.airbyte.integrations.destination.iceberg.IcebergRESTCatalogServerManagedConfigTest,setup/0,false,38,5,3,0,3,1,7,7,0,1,0,7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,28,0,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-iceberg\src\test\java\io\airbyte\integrations\destination\iceberg\IcebergRESTCatalogServerManagedConfigTest.java,io.airbyte.integrations.destination.iceberg.IcebergRESTCatalogServerManagedConfigTest,checksRESTServerUri/0,false,50,3,2,0,2,1,8,7,0,2,0,8,0,0,0,0,0,0,2,0,2,0,0,0,0,0,19,1,1,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-mongodb-v2\src\test\java\io\airbyte\integrations\source\mongodb\cdc\MongoDbDebeziumEventConverterTest.java,io.airbyte.integrations.source.mongodb.cdc.MongoDbDebeziumEventConverterTest$DummyMetadataInjector,name/1[io.airbyte.integrations.source.mongodb.cdc.JsonNode],false,204,1,0,0,0,2,3,3,1,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-mongodb-v2\src\test\java\io\airbyte\integrations\source\mongodb\cdc\MongoDbDebeziumEventConverterTest.java,io.airbyte.integrations.source.mongodb.cdc.MongoDbDebeziumEventConverterTest$DummyMetadataInjector,namespace/1[io.airbyte.integrations.source.mongodb.cdc.JsonNode],false,199,1,0,0,0,2,3,3,1,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-mongodb-v2\src\test\java\io\airbyte\integrations\source\mongodb\cdc\MongoDbDebeziumEventConverterTest.java,io.airbyte.integrations.source.mongodb.cdc.MongoDbDebeziumEventConverterTest$DummyMetadataInjector,"addMetaData/2[io.airbyte.integrations.source.mongodb.cdc.ObjectNode,io.airbyte.integrations.source.mongodb.cdc.JsonNode]",false,191,2,0,0,0,2,4,6,0,1,2,4,0,0,0,0,0,0,3,0,1,0,1,0,0,0,8,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,"extractRawDataFields/2[java.util.LinkedHashMap<io.airbyte.integrations.destination.postgres.typing_deduping.ColumnId,io.airbyte.integrations.destination.postgres.typing_deduping.AirbyteType>,boolean]",false,168,3,0,0,0,1,10,3,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,cdcDeletedAtNotNullCondition/0,false,293,2,2,0,2,1,8,3,1,0,0,8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,28,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,getWidestType/0,false,95,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,getDialect/0,false,100,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
