file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\objectoriented\metersphere\backend\framework\domain\src\main\java\io\metersphere\api\domain\ApiScenarioExample.java,io.metersphere.api.domain.ApiScenarioExample$Criteria,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0
D:\objectoriented\metersphere\backend\services\system-setting\src\main\java\io\metersphere\system\notice\constants\NoticeConstants.java,io.metersphere.system.notice.constants.NoticeConstants$FieldSource,interface,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,6,0,3,0,3,0,0,0,0,18,0,0
D:\objectoriented\metersphere\backend\services\api-test\src\test\java\io\metersphere\api\controller\ApiScenarioControllerTests.java,io.metersphere.api.controller.ApiScenarioControllerTests,class,135,136,1,135,120,2,0,355,1374,0.95645493,0.22929293,0.6363636,64,2,37,19,1,7,45,0,0,0,61,30,0,54,7,0,18,0,104,2098,23,14,15,2,3,498,200,465,53,359,2,10,0,20,307,1,0
D:\objectoriented\metersphere\backend\services\project-management\src\main\java\io\metersphere\project\api\processor\extract\RegexExtract.java,io.metersphere.project.api.processor.extract.RegexExtract,class,6,7,1,6,0,3,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,2,0,0,2,0,23,1,0
D:\objectoriented\metersphere\backend\services\project-management\src\main\java\io\metersphere\project\api\assertion\MsAssertion.java,io.metersphere.project.api.assertion.MsAssertion,class,11,19,8,11,0,1,6,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,1,1,1,0,4,0,0,0,0,40,1025,0
D:\objectoriented\metersphere\backend\framework\domain\src\main\java\io\metersphere\project\domain\FileAssociation.java,io.metersphere.project.domain.FileAssociation$Column,enum,1,1,0,1,14,1,0,7,39,0.81818175,0.14545454,0.27272728,11,2,10,0,0,1,11,0,0,0,6,2,0,6,0,0,6,0,4,52,11,0,1,0,0,40,1,7,2,7,1,0,0,0,48,1,0
D:\objectoriented\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\mapper\CaseReviewModuleMapper.java,io.metersphere.functional.mapper.CaseReviewModuleMapper,interface,4,4,0,4,13,1,0,0,78,0.0,0.0,0.0,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,21,1,0
D:\objectoriented\metersphere\backend\services\api-test\src\test\java\io\metersphere\api\service\MockServerTestService.java,io.metersphere.api.service.MockServerTestService$Anonymous1$Anonymous3,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,-1,0
D:\objectoriented\metersphere\backend\framework\domain\src\main\java\io\metersphere\system\domain\StatusDefinitionExample.java,io.metersphere.system.domain.StatusDefinitionExample$GeneratedCriteria,innerclass,3,3,0,3,40,1,0,5,553,0.8,0.03529412,0.03529412,35,0,31,0,4,0,35,0,0,0,1,0,0,0,1,0,0,0,0,146,31,0,4,0,0,57,1,1,2,1,1,0,0,0,38,1036,0
D:\objectoriented\metersphere\backend\services\api-test\src\test\java\io\metersphere\api\service\MockServerTestService.java,io.metersphere.api.service.MockServerTestService$Anonymous1$Anonymous2,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,1,0,0,0,0,0,5,-1,0
