file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,init/0,false,18,0,2,2,0,1,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,setFollowedView/1[net.kdt.pojavlaunch.customcontrols.buttons.ControlInterface],false,32,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,CloneButton/1[net.kdt.pojavlaunch.customcontrols.handleview.Context],true,15,2,2,1,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,shouldBeVisible/0,false,27,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,onClick/0,false,37,2,3,0,3,2,3,5,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,false
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,"CloneButton/2[net.kdt.pojavlaunch.customcontrols.handleview.Context,net.kdt.pojavlaunch.customcontrols.handleview.AttributeSet]",true,16,4,1,0,1,1,1,4,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"renameDocument/2[java.lang.String,java.lang.String]",false,153,1,2,0,2,3,4,10,1,3,2,4,2,1,0,1,0,0,3,0,3,2,1,0,0,0,19,1,0,false
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"removeDocument/2[java.lang.String,java.lang.String]",false,175,1,1,0,1,1,1,3,0,0,2,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,10,1,0,false
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"querySearchDocuments/3[java.lang.String,java.lang.String,java.lang.String[]]",false,203,3,2,0,2,9,14,29,1,7,3,14,2,2,1,2,1,0,0,1,8,0,4,0,0,0,46,1,0,false
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"queryChildDocuments/3[java.lang.String,java.lang.String[],java.lang.String]",false,99,3,2,0,2,4,4,10,1,3,3,4,2,2,1,2,0,0,1,0,3,1,1,0,0,0,43,1,0,false
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,getMimeType/1[java.io.File],false,264,0,2,2,0,4,7,15,3,4,1,7,0,0,0,1,0,0,1,2,4,1,3,0,0,0,12,10,0,false
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"createDocument/3[java.lang.String,java.lang.String,java.lang.String]",false,130,0,0,0,0,5,5,23,1,3,3,5,0,0,1,0,1,0,4,1,5,3,2,0,0,0,22,1,0,false
