file,class,method,variable,usage
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,setFollowedView/1[net.kdt.pojavlaunch.customcontrols.buttons.ControlInterface],view,1
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,CloneButton/1[net.kdt.pojavlaunch.customcontrols.handleview.Context],context,1
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,"CloneButton/2[net.kdt.pojavlaunch.customcontrols.handleview.Context,net.kdt.pojavlaunch.customcontrols.handleview.AttributeSet]",context,1
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,"CloneButton/2[net.kdt.pojavlaunch.customcontrols.handleview.Context,net.kdt.pojavlaunch.customcontrols.handleview.AttributeSet]",attrs,1
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"renameDocument/2[java.lang.String,java.lang.String]",displayName,1
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"renameDocument/2[java.lang.String,java.lang.String]",targetFile,2
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"renameDocument/2[java.lang.String,java.lang.String]",documentId,2
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"renameDocument/2[java.lang.String,java.lang.String]",sourceFile,2
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"renameDocument/2[java.lang.String,java.lang.String]",sourceParent,2
D:\objectoriented\PojavLauncher\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"removeDocument/2[java.lang.String,java.lang.String]",documentId,1
