file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\objectoriented\SmartTube\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\models\data\VideoGroup.java,com.liskovsoft.smartyoutubetv2.common.app.models.data.VideoGroup,class,7,25,18,7,62,1,0,32,295,0.9078341,0.076719575,0.13756613,31,14,28,3,0,0,28,0,0,0,14,7,6,8,0,0,7,0,18,226,36,6,19,0,1,2,19,56,6,32,2,0,0,0,115,1,0
D:\objectoriented\SmartTube\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,class,17,19,2,17,10,3,0,23,4,0.7,0.3,0.6,5,0,4,0,1,0,5,0,0,0,6,1,0,6,0,0,4,0,1,59,1,0,3,0,3,0,4,14,3,13,2,1,0,0,47,1,1
D:\objectoriented\SmartTube\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\exoplayer\selector\FormatItem.java,com.liskovsoft.smartyoutubetv2.common.exoplayer.selector.FormatItem,interface,4,24,20,4,17,1,0,9,91,1.0,0.0,0.0,14,3,0,0,0,14,14,0,0,0,16,0,0,0,0,16,0,0,19,58,3,0,3,0,0,12,6,16,0,16,0,0,1,0,56,1,0
D:\objectoriented\SmartTube\leanback-1.0.0\src\main\java\androidx\leanback\widget\PlaybackControlsRowPresenter.java,androidx.leanback.widget.PlaybackControlsRowPresenter$Anonymous4,anonymous,2,2,0,2,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,0,0,0,0,0,2,0,0,0,8,-1,0
D:\objectoriented\SmartTube\leanback-1.0.0\src\main\java\androidx\leanback\widget\PlaybackControlsRowPresenter.java,androidx.leanback.widget.PlaybackControlsRowPresenter$Anonymous3,anonymous,8,8,0,8,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,1,0,0,1,0,1,1,0,0,0,16,-1,0
D:\objectoriented\SmartTube\leanback-1.0.0\src\main\java\androidx\leanback\widget\PlaybackControlsRowPresenter.java,androidx.leanback.widget.PlaybackControlsRowPresenter$Anonymous2,anonymous,4,4,0,4,3,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,1,0,0,3,0,1,1,0,0,0,11,-1,0
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\library\core\src\main\java\com\google\android\exoplayer2\extractor\DummyTrackOutput.java,com.google.android.exoplayer2.extractor.DummyTrackOutput,class,7,9,2,7,6,1,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,1,0,0,0,0,1,0,1,2,0,0,0,28,17,0
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\library\core\src\test\java\com\google\android\exoplayer2\offline\DownloadManagerTest.java,com.google.android.exoplayer2.offline.DownloadManagerTest,class,27,29,2,27,40,1,0,65,0,0.810101,0.6878307,0.74603176,33,2,28,5,0,0,28,0,0,0,15,7,0,15,0,0,7,0,10,587,1,3,1,3,0,5,71,100,4,98,2,0,4,8,190,1,0
D:\objectoriented\SmartTube\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\widgets\vineyard\LoadingCardView.java,com.liskovsoft.smartyoutubetv2.tv.ui.widgets.vineyard.LoadingCardView,class,8,12,4,8,12,3,0,16,34,0.7777778,0.0,0.0,9,2,6,3,0,0,6,0,0,0,1,0,0,1,0,0,0,0,3,47,3,0,2,0,0,0,4,7,0,6,1,0,0,0,62,1,0
D:\objectoriented\SmartTube\chatkit\src\main\java\com\stfalcon\chatkit\commons\models\IMessage.java,com.stfalcon.chatkit.commons.models.IMessage,interface,2,16,14,2,10,1,0,4,10,0.0,0.0,0.0,5,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,5,0,0,0,0,0,0,0,0,0,0,0,30,1,0
